ID	Title	Number of novels	Author	Date	Publisher	Series
1167518721	Bernsteinzauber und Liebesglück	1			MIRA Taschenbuch	?
1167518780	Bernsteinzauber und Liebesglück: Ein Sommer auf Rügen	1			MIRA Taschenbuch	?
1167518748	Bernsteinzauber und Liebesglück: Liebe, zart wie Porzellan	1			MIRA Taschenbuch	?
1167518810	Bernsteinzauber und Liebesglück: Prickelnde Küsse am Nordseestrand	1			MIRA Taschenbuch	?
1176633732	Berühr mich, wilder Highlander!	1			CORA Verlag	?
104614278X	Berühre meine Seele : Soul Screamers 5	1			MIRA Taschenbuch	?
1177123398	Berührt, gespürt - verführt!	1			CORA Verlag	?
1046134876	Beseelt : New Tales of Partholon 5	1			MIRA Taschenbuch	?
1046140051	Besessen	1			MIRA Taschenbuch	?
1046133926	Besessen : Blutsbande Buch 2	1			MIRA Taschenbuch	?
1176962590	Besieg die dunklen Schatten : Digital Edition	1			CORA Verlag	?
1176789848	Bestsellerautorin Brenda Jackson : eBundle	1			CORA Verlag	?
1176638122	Bestsellerautorin Carole Mortimer	1			CORA Verlag	?
1176512056	Bestsellerautorin Cathy Williams	1			CORA Verlag	?
1177030012	Bestsellerautorin Chantelle Shaw - griechisches Schicksal : eBundle	1			CORA Verlag	?
